Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Planet Earth II,,9.5,Documentary,2016,298m,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Gordon Buchanan,Chadden Hunter,Elizabeth White,Aaron Durogati,Fredi Devas,Thomas Crowley,Mark MacEwen,Sandesh Kadur,Pete McCowen,Emma Napper,Jerome Poncet,Max Hug Williams,Emma Brennand,Michael J. Sanderson,Ed Charles,Barrie Britton,Toby Nowlan",TV-G,United Kingdom
Breaking Bad,,9.5,Crime,2008–2013,49m,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",TV-MA,United States
Planet Earth,,9.4,Documentary,2006,538m,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.","Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Chadden Hunter,Michael Kelem,Simon King,Paul Stewart,Tania Jenkins,Mike Holding,Jeff Wilson,Warwick Sloss,Rick Rosenthal",TV-PG,United Kingdom
Band of Brothers,,9.4,Drama,2001,594m,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",TV-MA,United Kingdom
Shameless,,8.6,Comedy,2011–2021,46m,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",TV-MA,United States
Detectorists,,8.6,Comedy,2014–2022,30m,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",TV-14,United Kingdom
Endeavour,,8.6,Crime,2012–2023,89m,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Simon Harrison,Shvorne Marks,Lewis Peek,Carol Royle,Richard Riddell,Mark Arden,Flora London",TV-14,United Kingdom
Spartacus,Blood and Sand,8.5,Action,2010–2013,55m,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",TV-MA,United States
The Defiant Ones,,8.5,Documentary,2017,1h,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Gwen Stefani,Trent Reznor,Bruce Springsteen,Sean 'Diddy' Combs,Nas,The D.O.C.,DJ Yella,Vicki Iovine,Doug Morris,Verna Griffin",TV-MA,United States
It's Okay to Not Be Okay,Saikojiman Gwaenchanha,8.6,Comedy,2020,80m,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"Kim Soo-hyun,Seo Ye-Ji,Oh Jung-se,Park Gyuyoung,Kim Joo-hun,Jang Young-Nam,Park Jin-Joo,Kim Gi Cheon,Gi Doong Kang,Jang Gyu-ri,Kim Chang-wan,Jeong Jaekwang,Lee Eol,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun",TV-MA,South Korea
Black Books,,8.5,Comedy,2000–2004,25m,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,Terry Bird,Tony Bluto,John Arthur,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins",TV-PG,United Kingdom
Gintama,,8.7,Animation,2005–2021,25m,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,Susumu Chiba,Kenichi Suzumura,Satsuki Yukino,Akira Ishida,Tetsuharu Ôta,Fumihiko Tachiki,Kujira,Yû Kobayashi,Mikako Takahashi,Fumiko Orikasa,Kôichi Sakaguchi,Yû Sugimoto,Michael Daingerfield,Jocelyne Loewen",TV-14,Japan
Foyle's War,,8.6,Crime,2002–2015,90m,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan",TV-14,United Kingdom
The Knick,,8.5,Drama,2014–2015,58m,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin",TV-MA,United States
Big Little Lies,,8.5,Crime,2017–2019,1h,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"Reese Witherspoon,Nicole Kidman,Shailene Woodley,Adam Scott,Zoë Kravitz,Laura Dern,James Tupper,Alexander Skarsgård,Jeffrey Nordling,Iain Armitage,Darby Camp,Kathryn Newton,Cameron Crovetti,Nicholas Crovetti,Chloe Coleman,Ivy George,Larry Sullivan,Merrin Dungey",TV-MA,United States
Southland,,8.5,Crime,2009–2013,42m,The lives of Police Officers working for the Los Angeles Police Department.,"Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,C. Thomas Howell,Arija Bareikis,Jamie McShane,Michael McGrady,Dorian Missick,Kevin Alejandro,Tom Everett Scott,Emily Bergl,Roxana Brusso,Mario Cortez,Lucy Liu,Jenny Gago,Lex Medlin,Patrick Fischler",TV-MA,United States
Avrupa Yakasi,,8.6,Comedy,2004–2009,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Veysel Diker,Yildirim Öcek,Yavuz Seçkin,Gazanfer Özcan,Hümeyra,Vural Çelik,Engin Günaydin,Rutkay Aziz,Suna Keskin,Ata Demirer,Hasibe Eren,Sarp Apak,Evrim Akin,Bülent Polat",,Turkey
Your Lie in April,Shigatsu wa kimi no uso,8.6,Animation,2014–2018,23m,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Jennifer Alyx,Megan Crockett,Christina McBride,Ryan Raydarke,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",TV-PG,Japan
Alfred Hitchcock Presents,,8.5,Comedy,1955–1962,25m,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Bartlett Robinson,David Fresco,Robert Horton,Ray Teal,Percy Helton,Ralph Clanton,Charles Davis",TV-14,United States
The Night Of,,8.5,Crime,2016,525m,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar,Esau Pritchett",TV-MA,United States
The Angry Video Game Nerd,,8.5,Comedy,2004– ,35m,A foul-mouthed nerd reviews bad video games.,"James Rolfe,Mike Matei,Kyle Rogers,Kieran Fallon,Antonio Piluso,Kevin Finn,Liam Mulvey,Craig Skistimas,Justin Silverman,Marsh,Xander Arnot,Micheal Mulvey,Pat Contri,Lloyd Kaufman,Nathan Barnatt,Macaulay Culkin,Gilbert Gottfried,Grant Duffrin",TV-MA,United States
Derry Girls,,8.5,Comedy,2018–2022,30m,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill,Kathy Kiera Clarke,Tommy Tiernan,Ian McElhinney,Nicola Coughlan,Jamie-Lee O'Donnell,Dylan Llewellyn,Siobhán McSweeney,Leah O'Rourke,Beccy Henderson,Amelia Crowley,Claire Rafferty,Philippa Dunne,Donna Traynor,Kevin McAleer,Paul Mallon",TV-MA,United Kingdom
Generation Kill,,8.5,Drama,2008,70m,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger",TV-MA,United States
Wentworth,,8.6,Crime,2013–2021,45m,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacquie Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lucia Brancatisano,Lauri McLennan,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",TV-MA,Australia
My Brilliant Friend,L'amica geniale,8.6,Drama,2018– ,1h,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",TV-MA,Italy
Chef's Table,,8.5,Documentary,2015–2019,50m,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Bill Buford,Massimo Bottura,Francis Mallmann,Ruth Reichl,Dan Barber,Niki Nakayama,Magnus Nilsson,Ben Shewry,Lara Gilmore,David Chang,Grant Achatz,Dominique Crenn,Garima Arora,Daniel Humm,Enrique Olvera,Gaggan Anand,Valter Kramar,Anna Morelli",TV-MA,United States
Cobra Kai,,8.5,Action,2018–2023,30m,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña,Tanner Buchanan,Mary Mouser,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Owen Morgan,Aedin Mincks,Jayden Rivers,Joe Seo,Griffin Santopietro,Khalil Everage,Hannah Kepple",TV-14,United States
Jujutsu Kaisen,,8.5,Animation,2020– ,24m,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Robbie Daymond,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Allegra Clark,Tomokazu Seki,Mikako Komatsu,Kôki Uchiyama,Lex Lang,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba",TV-MA,Japan
Community,,8.5,Comedy,2009–2015,22m,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",TV-14,United States
Regular Show,,8.5,Animation,2009–2017,23m,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,Roger Craig Smith,Minty Lewis,Janie Haddad Tompkins,Courtenay Taylor,Steve Blum,Fred Tatasciore,John Cygan,Ali Hillis,Linda Cardellini,Jeff Bennett,David Kaye,Robin Atkin Downes,David Ogden Stiers,Troy Baker",TV-PG,United States
The Expanse,,8.5,Drama,2015–2022,1h,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Nadine Nicole,Chad L. Coleman,Anna Hopkins,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,David Strathairn",TV-14,United States
Umbre,,8.7,Crime,2014–2019,45m,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu",TV-MA,Romania
Hannibal,,8.5,Crime,2013–2015,44m,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",TV-MA,United States
Schitt's Creek,,8.5,Comedy,2015–2020,22m,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",TV-14,Canada
Happy Valley,,8.5,Crime,2014–2023,58m,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"Sarah Lancashire,Siobhan Finneran,James Norton,Rhys Connah,Charlie Murphy,Shane Zaza,Ishia Bennison,Rick Warden,George Costigan,Karl Davies,Derek Riddell,Con O'Neill,Mete Dursun,Vincent Franklin,Chord Melodic,Susan Lynch,Jill Baker,Mark Stanley",TV-MA,United Kingdom
Rocket Boys,,8.9,Drama,2022– ,,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","Jim Sarbh,Saba Azad,Regina Cassandra,Mark Bennington,Ishwak Singh,Dibyendu Bhattacharya,Namit Das,Arjun Radhakrishnan,K.C. Shankar,Charu Shankar,Monisha Advani,Ashmita Meghrajani,Rajiv Kachroo,Darius Shroff,Rajit Kapoor,Neha Chauhan,Ed Robinson,Kaustav Sinha",,India
Rurouni Kenshin: Trust and Betrayal,Tsuioku Hen,8.6,Animation,1999,118m,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki",TV-MA,Japan
From the Earth to the Moon,,8.6,Action,1998,1h,Dramatized portrayal of the Apollo manned space program.,"Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",TV-14,United States
Futurama,,8.5,Animation,1999–2023,22m,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",TV-14,United States
Spartacus: Gods of the Arena,,8.5,Action,2011,331m,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",TV-MA,United States
Silicon Valley,,8.5,Comedy,2014–2019,28m,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",TV-MA,United States
Fullmetal Alchemist,Hagane no renkinjutsushi,8.5,Animation,2003–2004,24m,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto",TV-PG,Japan
Mr Inbetween,,8.6,Crime,2018–2021,30m,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.","Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley",TV-MA,Australia
Doctor Who,,8.6,Adventure,2005– ,45m,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Simon Carew,Arthur Darvill,Bradley Walsh,Barnaby Edwards,Tosin Cole,Ruari Mears",TV-PG,United Kingdom
Twin Peaks,,8.5,Crime,2017,1h,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",TV-MA,United States
Skam,,8.6,Drama,2015–2017,30m,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi",Not Rated,Norway
Westworld,,8.5,Drama,2016–2022,62m,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Aaron Paul,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Ingrid Bolsø Berdal",TV-MA,United States
North & South,,8.6,Drama,2004,235m,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",TV-PG,United Kingdom
Trailer Park Boys,,8.6,Comedy,2001–2018,30m,Three petty felons have a documentary made about their life in a trailer park.,"John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,Patrick Roach,Sarah Dunsworth,Jeanna Harrison,Tyrone Parsons,Cory Bowles,Shelley Thompson,Lucy Decoutere,Jonathan Torrens,Jacob Rolfe,Barrie Dunn,Michael Jackson,George Green,Garry James,Marguerite McNeil",TV-MA,Canada
Brass Eye,,8.6,Comedy,1997–2001,25m,"Controversal spoof of current affairs television, and the role of celebrity in the UK.","Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz",TV-MA,United Kingdom
Neon Genesis Evangelion,Shin seiki evangerion,8.5,Animation,1995–1996,24m,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith-Shipp,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Carrie Keranen,Casey Mongillo,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",TV-MA,Japan
Extraordinary Attorney Woo,I-sang-han byeon-ho-sa U-yeong-u,8.7,Drama,2022,75m,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.","Park Eun-bin,Kang Tae-oh,Kang Ki-young,Jeon Bae-soo,Halley Kim,Ha Yoon-kyung,Ren Hanami,Eugene Young,Joo Jong-hyuk,Nick Martineau,Jin Kyung,Joo Hyun-young,Baek Ji-won,Jennifer Sun Bell,Edward Hong,Im Sung-jae,Anzu Lawson,Darren Keilan",TV-14,South Korea
Sons of Anarchy,,8.6,Crime,2008–2014,45m,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",TV-MA,United States
Mob Psycho 100,,8.6,Animation,2016–2022,24m,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Setsuo Ito,Takahiro Sakurai,Chris Niosi,Akio Ôtsuka,Kyle McCarley,Michael Sorich,Miyu Irino,Max Mittelman,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Patrick Seitz,Yoshimasa Hosoya,Erik Scott Kimerer,Daiki Hamano,Seiichiro Yamashita,Cherami Leigh,Toshihiko Seki,Kôhei Amasaki",TV-14,Japan
Ezel,,8.7,Crime,2009–2011,90m,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas",TV-14,Turkey
